feature,importance
acc_world_diff_range,33.6
acc_world_diff_min,29.6
acc_world_diff_max,25.4
world_acc_magnitude_var,25.0
acc_world_diff_median,18.4
adult_child,15.8
acc_world_diff_iqr,3.6
acc_world_diff_q25,3.2
handedness,2.4
acc_world_diff_q75,0.0
acc_world_diff_kurt,0.0
acc_world_diff_skew,0.0
